,公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
8,2913,台灣農林,67068,91108,73653,-26.38,-8.94,67068,73653,-8.94
9,2915,潤泰全球,499524,424728,358902,17.61,39.18,499524,358902,39.18
0,1435,中福,1944,1816,3500,7.04,-44.45,1944,3500,-44.45
1,2062,橋椿,293967,325733,389005,-9.75,-24.43,293967,389005,-24.43
2,2514,龍邦國際,11115,7722,9728,43.93,14.25,11115,9728,14.25
3,2904,匯僑,33026,31341,32254,5.37,2.39,33026,32254,2.39
4,6184,大豐電,53412,54711,53814,-2.37,-0.74,53412,53814,-0.74
5,6504,南六企業,205053,234938,180881,-12.72,13.36,205053,180881,13.36
6,8033,雷虎科技,56470,75119,63515,-24.82,-11.09,56470,63515,-11.09
7,8422,可寧衛,69027,131663,56884,-47.57,21.34,69027,56884,21.34
8,9902,台火,18431,5487,492895,235.9,-96.26,18431,492895,-96.26
9,9904,寶成工業,1097958,1269652,990085,-13.52,10.89,1097958,990085,10.89
10,9905,大華金,225643,251737,199989,-10.36,12.82,225643,199989,12.82
11,9906,興達,1246,2495,3720,-50.06,-66.5,1246,3720,-66.5
12,9907,統一實業,1996446,1808957,1970971,10.36,1.29,1996446,1970971,1.29
13,9910,豐泰企業,1194504,1195371,855780,-0.07,39.58,1194504,855780,39.58
14,9911,台灣櫻花,448434,378861,446316,18.36,0.47,448434,446316,0.47
15,9914,美利達,1256604,1605003,984383,-21.7,27.65,1256604,984383,27.65
16,9917,中保,505325,531168,486016,-4.86,3.97,505325,486016,3.97
17,9919,康那香,275383,286665,293602,-3.93,-6.2,275383,293602,-6.2
18,9921,巨大機械,1632348,1822018,1525899,-10.4,6.97,1632348,1525899,6.97
19,9924,台灣福興,314140,241747,262837,29.94,19.51,314140,262837,19.51
20,9925,新光保全,308263,314765,282623,-2.06,9.07,308263,282623,9.07
21,9927,泰銘,863582,805121,776121,7.26,11.26,863582,776121,11.26
22,9928,中視,122760,201730,121167,-39.14,1.31,122760,121167,1.31
23,9929,秋雨,80054,84600,72908,-5.37,9.8,80054,72908,9.8
24,9930,中聯資源,480903,550105,397069,-12.57,21.11,480903,397069,21.11
25,9933,中鼎工程,2202085,3297050,1274981,-33.21,72.71,2202085,1274981,72.71
26,9934,成霖企業,272502,285624,254630,-4.59,7.01,272502,254630,7.01
27,9935,慶豐富,263513,128430,382145,105.18,-31.04,263513,382145,-31.04
28,9938,台灣百和,134803,189575,119319,-28.89,12.97,134803,119319,12.97
29,9939,宏全,484277,486180,369214,-0.39,31.16,484277,369214,31.16
30,9940,信義房屋,850136,1328982,637682,-36.03,33.31,850136,637682,33.31
31,9941,裕融企業,138205,135154,126785,2.25,9.0,138205,126785,9.0
32,9942,茂順,142033,162145,120693,-12.4,17.68,142033,120693,17.68
33,9943,好樂迪,289282,250135,282648,15.65,2.34,289282,282648,2.34
34,9944,新麗企業,39890,37061,39650,7.63,0.6,39890,39650,0.6
35,9945,潤泰創新,746089,870496,684111,-14.29,9.05,746089,684111,9.05
36,9955,佳龍,647630,716083,630671,-9.55,2.68,647630,630671,2.68
0,1704,榮化,2276439,2594407,2258455,-12.25,0.79,2276439,2258455,0.79
1,1708,東鹼,220263,246575,248210,-10.67,-11.25,220263,248210,-11.25
2,1709,和益化工,778358,635375,688354,22.5,13.07,778358,688354,13.07
3,1710,東聯,1168208,791336,1084405,47.62,7.72,1168208,1084405,7.72
4,1711,永光化學,479228,491261,487668,-2.44,-1.73,479228,487668,-1.73
5,1712,興農,539976,582086,557479,-7.23,-3.13,539976,557479,-3.13
6,1713,國化,51214,52897,43106,-3.18,18.8,51214,43106,18.8
7,1714,和桐化學,1256423,764695,1059686,64.3,18.56,1256423,1059686,18.56
8,1717,長興化學,1666294,1539532,1532017,8.23,8.76,1666294,1532017,8.76
9,1718,中纖,1459267,1718264,1160205,-15.07,25.77,1459267,1160205,25.77
10,1721,三晃,140693,169163,163924,-16.82,-14.17,140693,163924,-14.17
11,1722,台肥,1243701,1413380,922276,-12.0,34.85,1243701,922276,34.85
12,1723,中碳,821409,854907,581449,-3.91,41.26,821409,581449,41.26
13,1724,台硝,194014,160802,131808,20.65,47.19,194014,131808,47.19
14,1725,元禎,816099,721042,852434,13.18,-4.26,816099,852434,-4.26
15,1726,永記造漆,756911,628044,576113,20.51,31.38,756911,576113,31.38
16,1727,中華化學,170297,169017,109757,0.75,55.15,170297,109757,55.15
17,1730,花仙子,117884,102865,97353,14.6,21.08,117884,97353,21.08
18,1732,毛寶,115517,61021,104375,89.3,10.67,115517,104375,10.67
19,1735,日勝化,144576,191530,177652,-24.51,-18.61,144576,177652,-18.61
20,1737,臺鹽,227778,207922,206576,9.54,10.26,227778,206576,10.26
21,1773,勝一化工,579743,571717,456494,1.4,26.99,579743,456494,26.99
22,4722,國精化學,202696,223469,159029,-9.29,27.45,202696,159029,27.45
